Time	position_x	position_y
0.001	0.339	1033.335
0.001	0.340	1033.432
0.001	0.341	1033.529
0.001	0.342	1033.625
0.001	0.343	1033.722
0.001	0.344	1033.818
0.001	0.345	1033.915
0.001	0.346	1034.012
0.001	0.347	1034.108
0.001	0.348	1034.205
0.001	0.349	1034.301
0.001	0.350	1034.398
0.001	0.351	1034.495
0.001	0.352	1034.591
0.001	0.353	1034.688
0.001	0.354	1034.784
0.001	0.355	1034.881
0.001	0.356	1034.977
0.001	0.357	1035.074
0.001	0.358	1035.170
0.001	0.359	1035.267
0.001	0.360	1035.363
0.001	0.361	1035.460
0.001	0.362	1035.556
0.001	0.363	1035.653
0.001	0.364	1035.749
0.001	0.365	1035.845
0.001	0.366	1035.942
0.001	0.367	1036.038
0.001	0.368	1036.135
0.001	0.369	1036.231
0.001	0.370	1036.327
0.001	0.371	1036.424
0.001	0.372	1036.520
0.001	0.373	1036.616
0.001	0.374	1036.713
0.001	0.375	1036.809
0.001	0.376	1036.905
0.001	0.377	1037.002
0.001	0.378	1037.098
0.001	0.379	1037.194
0.001	0.380	1037.291
0.001	0.381	1037.387
0.001	0.382	1037.483
0.001	0.383	1037.579
0.001	0.384	1037.676
0.001	0.385	1037.772
0.001	0.386	1037.868
0.001	0.387	1037.964
0.001	0.388	1038.060
0.001	0.389	1038.157
0.001	0.390	1038.253
0.001	0.391	1038.349
0.001	0.392	1038.445
0.001	0.393	1038.541
0.001	0.394	1038.637
0.001	0.395	1038.734
0.001	0.396	1038.830
0.001	0.397	1038.926
0.001	0.398	1039.022
0.001	0.399	1039.118
0.001	0.400	1039.214
0.001	0.401	1039.310
0.001	0.402	1039.406
0.001	0.403	1039.502
0.001	0.404	1039.598
0.001	0.405	1039.694
0.001	0.406	1039.790
0.001	0.407	1039.886
0.001	0.408	1039.982
0.001	0.409	1040.078
0.001	0.410	1040.174
0.001	0.411	1040.270
0.001	0.412	1040.366
0.001	0.413	1040.462
0.001	0.414	1040.558
0.001	0.415	1040.654
0.001	0.416	1040.750
0.001	0.417	1040.846
0.001	0.418	1040.942
0.001	0.419	1041.038
0.001	0.420	1041.134
0.001	0.421	1041.229
0.001	0.422	1041.325
0.001	0.423	1041.421
0.001	0.424	1041.517
0.001	0.425	1041.613
0.001	0.426	1041.709
0.001	0.427	1041.804
0.001	0.428	1041.900
